IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Product Code,Usage Type,[lineItem/Operation],lineItem/LineItemDescription
Storage,File Storage,Amazon FSx,File System Throughput,File System Throughput Capacity Usage,AmazonFSx,%ThroughputCapacity,CreateFileSystem:Windows,
Storage,File Storage,Amazon FSx,File System Storage,File System Storage Usage,AmazonFSx,%Storage,CreateFileSystem:Windows,
Storage,File Storage,Amazon FSx,Backup File System,Backup File System Usage,AmazonFSx,%BackupUsage,CreateFileSystem:Windows,
Storage,File Storage,Amazon FSx,Regional Data Transfer,Regional Data Transfer Volume Usage,AmazonFSx,%DataTransfer-Regional-Bytes,CreateFileSystem:Windows,
Storage,Archive Storage,Amazon Glacier,Additional Costs,Tax,AmazonGlacier,,,Tax%
Storage,Archive Storage,Amazon Glacier,Glacier Storage,Storage Volume Usage,AmazonGlacier,%Bytes,,
Storage,Archive Storage,Amazon Glacier,Provisioned Capacity,Provisioned Capacity Usage,AmazonGlacier,%ProvisionedCapacityUnit,,
Storage,Archive Storage,Amazon Glacier,Archived Data Storing,Storage Duration Usage,AmazonGlacier,%TimedStorage-ByteHrs,,
Storage,Archive Storage,Amazon Glacier,Archive Retrieval Requests,Requests-Tier3 Usage,AmazonGlacier,%Requests-Tier3,,
Storage,Archive Storage,Amazon Glacier,Archive Retrieval Requests,Requests-Tier1 Usage,AmazonGlacier,%Requests-Tier1,,
Storage,Archive Storage,Amazon Glacier,Glacier Storage Support,Charge Early Deletion Fee,AmazonGlacier,%EarlyDelete%,,
Security & Compliance ,Threat Detection,Amazon GuardDuty,Additional Costs,Tax,AmazonGuardDuty,,,Tax%
Security & Compliance ,Threat Detection,Amazon GuardDuty,Free Events Analysis,Free Events Analysis Usage,AmazonGuardDuty,%FreeEventsAnalyzed,,
Security & Compliance ,Threat Detection,Amazon GuardDuty,Paid Events Analysis,Paid Events Analysis Usage,AmazonGuardDuty,%PaidEventsAnalyzed,,
Security & Compliance ,Threat Detection,Amazon GuardDuty,Free Events Data Volume Analysis,Free Events Data Volume Analysis Usage,AmazonGuardDuty,%FreeEventsAnalyzed-Bytes,,
Security & Compliance ,Threat Detection,Amazon GuardDuty,Paid Events Data Volume Analysis,Paid Events Data Volume Analysis Usage,AmazonGuardDuty,%PaidEventsAnalyzed-Bytes,,
Security & Compliance ,Vulnerability management,Amazon Inspector,Agent Assessments,Agent Assesment Instance Usage,AmazonInspector,%agent-assessments%,,
Security & Compliance ,Vulnerability management,Amazon Inspector,Network Assesments,Network Assesment Instance Usage,AmazonInspector,%network-assessments%,,
Application,Front-End Web & Mobile,AWS Amplify,Data Transfer-Out,Outward Transferred Data Usage,AWSAmplify,%DataTransferOut,,
Application,Front-End Web & Mobile,AWS Amplify,Build,Build Time Usage,AWSAmplify,%BuildDuration,,
