IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Meter Category,Meter Sub-Category,Meter Name,Consumed Service,[AdditionalInfo]
Platform,BigData,Azure Data Factory,Data Movement,Data Movement Self-Hosted Integration Runtime,Azure Data Factory,v2,Data Movement Self Hosted IR,Microsoft.DataFactory,
Platform,BigData,Azure Data Factory,Workflow Orchestration,Workflow Orchestration Self-Hosted Integration Runtime,Azure Data Factory,v2,Orchestration Self Hosted IR,Microsoft.DataFactory,
Platform,BigData,Azure Data Factory,Data Processing,Data Processing Runtime,Azure Data Factory,v2,%,Microsoft.DataFactory,
Platform,BigData,Azure Data Factory,Data Movement,Data Movement Cloud Integration Runtime,Azure Data Factory,v2,Data Movement Cloud IR,Microsoft.DataFactory,
Platform,BigData,Azure Data Factory,Workflow Orchestration,Workflow Orchestration Cloud Integration Runtime,Azure Data Factory,v2,Orchestration Cloud IR,Microsoft.DataFactory,
Platform,BigData,Azure Data Factory,SSIS Package Execution,SSIS Package Hours Usage For D4 Instance,Azure Data Factory,v2,SSIS STD D4 v2,Microsoft.DataFactory,
Platform,Databases,Azure Database,MySQL Database,MySQL Database Usage,Azure Database for PostgreSQL,,,Microsoft.DBforMyQL,
Platform,Databases,Azure Database,PostgreSQL Database,PostgreSQL Database Usage,Azure Database for PostgreSQL,,,Microsoft.DBforPostgreSQL,
Application,Analysis,Azure Databricks,Data Analytics,Data Analytics DBU Hours Usage,Azure Databricks,,%Data Analytics%,Microsoft.Databricks,
Application,Analysis,Azure Databricks,Data Engineering,Data Engineering DBU Hours Usage,Azure Databricks,,%Data Engineering%,Microsoft.Databricks,
Storage,Caching Services,Azure Cache for Redis,Caching In-Memory,Cache Hours Usage,Cache,Azure Redis Cache,,Microsoft.Cache,
Storage,Caching Services,Azure Cache for Redis,Caching In-Memory,Basic/Standard Tier N Cache Hours Usage,Redis Cache,,C%,Microsoft.Cache,
Storage,Caching Services,Azure Cache for Redis,Caching In-Memory,Basic/Standard Tier N Cache Hours Usage,Redis Cache,,___C%,Microsoft.Cache,
Storage,Storage & Content Delivery,Standard Content Delivery Network,Data Transfer,Transferred Data Volume Usage,CDN,CDN,Standard CDN Data Transfer%,Microsoft.Cdn,
Storage,Storage & Content Delivery,Azure Content Delivery Network,Data Transfer,Transferred Data Volume Usage,Content Delivery Network,Azure CDN%,%Data Transfer,Microsoft.Cdn,
Platform,Containers,Azure Container Instances,Core Time Usage,Core Duration Seconds Usage,Container Instances,Container Instances,Core Duration,Microsoft.ContainerInstance,
Platform,Containers,Azure Container Instances,Container Time Usage,Container Duration Seconds Usage,Container Instances,Container Instances,Duration,Microsoft.ContainerInstance,
Platform,Containers,Azure Container Instances,Executing Container,Container Executions Usage,Container Instances,Container Instances,Executions,Microsoft.ContainerInstance,
Platform,Containers,Azure Container Instances,Container Memory Usage,Container GB Seconds Usage,Container Instances,,Memory Duration,Microsoft.ContainerInstance,
Platform,Containers,Azure Container Instances,Container Compute Usage,Container vCPU Seconds Usage,Container Instances,,vCPU Duration,Microsoft.ContainerInstance,
Compute,Machine Learning,Azure Machine Learning,Azure Machine Learning Studio,REST API Usage Access,Machine Learning Studio,Production Web API,,Microsoft.MachineLearning,
Compute,Machine Learning,Azure Machine Learning,Data Transfer,Transferred Data Volume Usage,Bandwidth,,%Data Transfer%,Microsoft.MachineLearningServices,
Application,Business Software,Azure Cognitive Search,Data Transfer,Transferred Data Volume Usage,Bandwidth,,%Data Transfer%,Microsoft.Search,
Network,Transport,Azure VPN Gateway,Gateway,Gateway Hours Usage,VPN Gateway,,%Gateway%,Microsoft.Network,
Network,Transport,Azure VPN Gateway,Gateway,Gateway Hours Usage,VPN Gateway,,%Gw%,Microsoft.Network,
Network,Transport,Azure VPN Gateway,Data Transfer,Transferred Data Volume Usage,VPN Gateway,,%Data Transfer%,Microsoft.Network,
Network,Traffic Management,Azure Traffic Manager,Traffic Routes Inctances,Azure Endpoints Usage,Traffic Manager,,%Azure Endpoint%,Microsoft.Network,
Network,Traffic Management,Azure Traffic Manager,Traffic Routes Inctances,Service Endpoint Usage,Traffic Manager,,%Service Endpoint%,Microsoft.Network,
Network,Traffic Management,Azure Traffic Manager,Traffic Routes Methods,DNS Queries Usage,Traffic Manager,,%DNS Queries%,Microsoft.Network,
Network,Traffic Management,Azure Traffic Manager,Traffic Routes Inctances,Real User Measurements Usage,Traffic Manager,,%Real User Measurements,Microsoft.Network,
Network,Traffic Management,Azure Traffic Manager,Traffic Routes Inctances,Traffic View Usage,Traffic Manager,,%Traffic View%,Microsoft.Network,
Network,Network Security,Azure Firewall,Deployment,Deployment Time Usage,Azure Firewall,,Deployment,Microsoft.Network,
Network,Network Security,Azure Firewall,Data Processing,Processed Data Volume Usage,Azure Firewall,,Data Processed,Microsoft.Network,
Application,Front-End Web & Mobile,Azure Notification Hubs,Notification Delivery,Notification Pushes Usage,Notification Hubs,,,Microsoft.NotificationHubs,
Application,Business Analytics,Power BI Embedded,Power BI Sessions,Power BI Sessions Usage,Power BI,Embedded,,Microsoft.PowerBI,
Application,Business Analytics,Power BI Embedded,Power BI Sessions,Power BI Sessions For A1 Instance Usage,Power BI Embedded,Power BI Embedded,A1 Node,Microsoft.PowerBIDedicated,
Application,Business Analytics,Power BI Embedded,Power BI Sessions,Power BI Sessions For A1 Instance Usage,Power BI Embedded,,A1,Microsoft.PowerBIDedicated,
